,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Countries, territories and areas","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Costa Rica","953.08","914.88","902.22","853.75","870.74","875.35","822.91","816.88","776.43","742.14","654.17","529.61","510.99","423.64","359.79","309.51","290.13","287.37","276.24","255.18","247.70"
"Côte d'Ivoire","85.17","73.65","70.97","68.62","66.39","62.52","79.31","71.52","74.48","72.45","71.99","72.83","75.88","64.68","60.49","62.35","67.68","64.14","57.25","54.03","54.16"
"Croatia","1094.53","1040.09","1024.62","902.63","840.9","795.51","909.37","889.94","1029.97","1132.50","1126.37","1187.55","1258.87","1041.03","816.02","727.13","634.62","512.15","386.44","388.32","371.06"
"Cuba","1186.16","1013.10","973.14","980.09","984.25","985.42","864.16","710.79","601.42","695.99","608.96","676.22","610.09","570.31","387.44","331.99","232.51","227.70","213.96","198.59","181.15"
"Cyprus","2245.36","2043.68","2020.73","1773.41","1649.41","1596.21","1873.89","1916.32","1899.37","2114.67","2045.29","2105.48","2155.25","1694.27","1474.02","1366.02","1286.97","1145.06","890.48","782.16","750.52"
"Czechia","2119.85","1803.05","1753.20","1525.35","1321.62","1284.05","1512.93","1554.51","1387.41","1516.56","1373.93","1442.24","1449.34","1110.18","942.12","852.65","746.33","640.66","497.74","388.54","342.92"
"Democratic Republic of the Congo","21.25","19.86","17.88","18.75","19.91","19.13","18.79","15.87","13.63","12.28","12.54","13.19","15.86","12.04","10.88","9.00","8.30","6.42","4.49","5.84","19.25"
"Denmark","6438.39","6058.83","6232.72","5834.02","5624.33","5531.88","6466.90","6334.42","6168.34","6438.21","6171.29","6221.69","6137.78","5468.38","4778.89","4442.76","4194.87","3607.04","2895.81","2602.64","2496.05"
"Djibouti","62.81","62.31","64.48","65.56","69.80","74.74","66.44","61.39","65.70","62.67","51.37","50.82","49.90","46.96","44.40","38.61","37.99","43.44","38.05","29.73","30.91"
"Dominica","426.66","442.51","484.52","404.61","421.32","398.52","394.67","387.08","408.77","388.87","370.31","354.45","336.35","293.62","271.50","263.90","253.98","243.10","227.22","231.98","259.65"
"Dominican Republic","354.10","346.51","327.90","337.61","329.11","322.95","313.46","303.38","305.44","295.19","271.27","238.27","230.51","191.22","162.94","169.97","105.84","105.31","153.86","144.17","139.00"
"Ecuador","478.53","487.33","497.17","464.02","442.55","459.27","428.63","411.50","383.99","337.00","283.82","241.68","229.10","191.11","190.53","168.63","150.50","132.66","97.71","71.49","48.33"
"Egypt","150.91","145.31","120.22","107.99","145.28","173.52","158.21","142.60","142.76","118.70","107.42","101.22","92.33","75.13","68.03","60.99","51.60","51.60","65.59","70.37","71.04"
"El Salvador","385.74","364.13","345.15","335.74","337.27","329.44","312.87","321.83","298.73","293.37","268.67","255.38","251.83","238.63","230.50","223.97","184.88","170.79","166.13","161.76","155.13"
"Equatorial Guinea","236.62","222.74","270.56","248.93","252.67","285.38","368.52","330.95","237.00","289.87","271.07","266.58","364.52","216.74","169.32","142.01","119.85","94.39","64.46","51.28","36.31"
"Eritrea","23.98","25.26","24.03","20.89","22.73","26.84","31.79","29.74","26.21","33.60","24.89","22.66","19.69","18.40","22.32","20.61","21.77","18.62","14.82","14.00","13.18"
"Estonia","1787.87","1598.84","1553.43","1350.13","1226.09","1156.20","1287.76","1144.65","1013.31","1015.97","926.45","963.02","1038.56","832.73","600.51","524.68","455.07","349.06","250.48","214.70","209.71"
"Eswatini","219.10","259.24","291.17","267.07","227.80","252.68","285.05","306.57","343.83","369.37","346.70","282.30","267.73","253.80","238.98","218.71","177.12","132.39","75.28","76.11","77.75"
"Ethiopia","28.70","26.23","23.85","24.51","24.67","23.53","21.90","19.54","20.29","14.84","16.41","15.36","13.22","11.79","8.53","6.56","5.80","5.76","5.19","5.55","5.32"
"Fiji","186.36","228.36","215.84","185.64","176.07","169.73","178.71","159.02","154.22","141.66","128.40","121.84","135.50","141.43","127.43","121.24","111.04","86.90","70.07","62.10","75.04"
"Finland","4726.14","4460.11","4521.50","4235.95","4108.93","4128.40","4922.65","4892.20","4573.29","4717.57","4251.59","4349.93","4486.36","3918.66","3414.94","3236.87","3044.13","2613.83","2059.31","1810.39","1726.74"
"France","4768.73","4508.34","4668.88","4411.71","4262.22","4199.07","4978.56","4888.47","4644.60","4931.88","4592.38","4737.58","4807.37","4312.31","3811.55","3575.03","3458.63","3006.31","2449.76","2192.72","2161.85"
"Gabon","228.98","208.29","211.23","193.98","208.91","188.42","234.42","262.78","226.33","262.77","207.94","283.03","271.51","254.20","212.62","190.27","182.62","166.89","132.22","121.07","123.33"
"Gambia","18.58","22.83","22.85","21.20","20.47","19.43","17.14","25.34","29.31","30.83","32.82","34.47","39.97","35.93","33.49","33.34","32.34","28.66","36.57","38.21","46.74"
"Georgia","320.01","308.57","331.87","303.94","321.08","294.35","369.14","357.91","348.77","316.82","289.54","274.68","286.31","199.06","154.49","134.39","106.87","82.01","67.17","57.25","53.03"
"Germany","5930.33","5478.10","5504.00","5064.84","4742.96","4624.63","5307.38","5099.89","4765.69","5037.51","4611.42","4674.92","4669.76","4182.92","3698.04","3558.21","3459.82","3152.79","2567.50","2346.67","2344.35"
"Ghana","84.98","73.52","74.13","65.57","64.43","77.74","78.04","104.81","83.49","95.87","71.61","61.81","61.91","54.76","45.97","39.75","25.61","23.23","19.76","19.21","16.27"
"Greece","1675.12","1569.03","1603.08","1509.78","1513.26","1481.42","1700.49","1832.03","1948.25","2338.92","2564.37","2809.06","2840.51","2426.76","2052.88","1935.27","1782.70","1566.41","1168.82","1004.82","885.41"
"Grenada","491.08","487.60","438.92","433.49","392.78","389.39","368.81","405.40","401.85","393.21","366.41","370.05","395.51","355.66","321.83","324.56","293.60","287.29","308.34","271.17","259.38"
"Guatemala","289.13","278.55","265.75","265.18","246.12","233.42","216.80","198.34","200.34","190.71","174.79","168.86","175.12","158.38","148.54","131.96","121.73","112.98","107.24","99.69","83.35"
"Guinea","46.84","42.68","35.31","33.02","38.88","43.94","37.09","26.22","23.99","24.42","22.87","24.00","23.25","22.81","16.35","19.94","26.76","25.94","25.15","22.04","23.00"
"Guinea-Bissau","61.43","61.01","59.61","54.74","56.53","52.39","64.92","46.01","37.73","44.70","37.56","40.50","45.08","37.88","32.72","33.62","32.32","24.75","21.14","22.01","21.45"
"Guyana","378.06","319.36","298.95","268.69","237.30","228.02","216.93","212.03","202.52","186.59","162.99","150.38","138.78","125.85","98.42","85.49","74.89","68.43","65.33","60.47","62.85"
"Haiti","44.18","49.09","62.02","53.58","59.83","68.24","64.86","59.16","74.80","76.82","55.51","41.22","40.26","37.41","28.96","25.12","23.90","18.50","22.23","27.21","30.15"
"Honduras","212.70","184.04","177.65","168.39","176.97","168.93","171.30","175.02","182.42","180.58","163.54","158.54","147.42","126.12","110.84","96.75","82.34","78.74","69.90","66.35","67.67"
"Hungary","1163.25","1053.72","1079.84","984.41","914.19","870.52","1006.16","990.63","961.14","1063.43","983.11","943.69","1117.20","1003.26","893.20","895.20","798.45","682.87","473.13","359.70","313.11"
"Iceland","5636.94","5865.23","6233.92","5944.97","5015.73","4269.93","4487.53","4068.56","3759.89","3910.58","3612.05","3620.84","4746.69","5800.04","4915.05","5076.37","4411.33","3837.10","3044.79","2526.90","2853.73"
"India","56.63","60.67","57.70","56.90","59.96","58.35","56.57","55.67","48.61","48.32","44.90","38.12","37.69","35.66","29.39","27.50","24.92","21.88","20.14","19.72","18.45"
"Indonesia","132.96","120.59","111.91","111.51","107.53","97.16","103.06","103.38","106.90","108.03","86.36","62.98","59.80","56.52","44.81","34.41","26.21","25.74","19.15","17.03","15.54"
"Iran (Islamic Republic of)","573.40","450.60","462.69","462.21","437.67","369.99","375.28","408.33","513.45","518.84","436.14","364.43","297.51","245.01","197.78","173.80","142.18","116.90","105.70","94.30","80.96"
"Iraq","202.31","239.58","226.69","203.17","142.00","147.76","178.58","186.44","173.19","160.14","143.13","138.92","136.74","96.29","54.59","50.43","50.53","26.67","","",""
"Ireland","6092.18","5431.00","5484.22","5010.26","4709.17","4561.39","5329.98","5328.58","5222.04","5558.30","5133.46","5502.89","5638.78","4858.65","4147.13","3938.19","3483.16","2910.93","2200.36","1823.73","1564.84"
"Israel","3867.40","3454.47","3219.69","3093.89","2801.22","2660.70","2816.12","2681.19","2410.15","2445.98","2240.44","2036.26","2128.55","1772.59","1558.29","1512.27","1443.16","1389.94","1361.95","1514.77","1471.62"
"Italy","3057.04","2910.63","3002.76","2809.72","2699.73","2675.67","3154.28","3149.24","3086.30","3392.01","3217.68","3337.75","3504.11","3092.56","2832.70","2677.55","2565.63","2163.03","1762.54","1586.66","1524.24"
"Jamaica","325.72","343.06","333.88","324.22","286.35","285.60","257.85","254.84","262.10","275.54","256.06","229.13","283.73","252.11","186.64","190.94","183.49","150.12","174.82","180.59","194.59"
"Japan","4388.10","4378.77","4288.00","4148.37","4199.71","3754.92","4121.53","4357.68","5235.42","5106.90","4074.34","3698.76","3225.26","2783.26","2765.59","2895.21","2887.94","2653.75","2415.82","2492.46","2756.24"
"Jordan","298.64","314.88","322.12","323.55","286.50","303.23","306.81","320.87","342.94","338.35","319.84","333.81","289.99","219.41","199.65","196.47","186.11","172.25","175.38","171.83","161.24"
"Kazakhstan","341.54","270.01","272.60","278.01","259.87","314.33","374.39","363.27","369.38","297.24","243.64","245.99","251.25","177.07","173.97","142.36","110.73","74.47","58.06","50.32","49.95"
"Kenya","83.40","86.07","75.66","66.80","74.27","71.31","73.19","67.89","64.72","57.19","58.93","55.29","55.42","50.39","41.08","31.14","27.75","25.71","22.33","22.14","21.40"
"Kiribati","166.62","163.10","191.59","166.04","126.64","117.24","155.03","154.75","146.76","141.84","132.95","168.11","190.78","148.09","127.17","131.60","131.95","101.99","93.07","85.94","65.45"
"Kuwait","1532.56","1643.57","1660.99","1361.48","1278.63","1235.62","1260.88","1188.28","1196.21","1143.14","1050.42","1025.88","1069.66","881.10","782.64","727.70","650.58","628.85","581.98","558.32","429.56"
"Kyrgyzstan","63.69","63.05","66.59","77.84","72.59","80.72","94.50","105.00","99.80","79.33","60.76","59.76","62.74","49.78","44.90","35.29","26.71","22.04","14.67","13.11","12.25"
